RandomID,pre_duration,RecordedDate.x,pre_consent,pre_conf_UTS_clinical,pre_conf_placement_jug_carot,pre_conf_placement_fem,pre_conf_placement_rad,pre_future_UTS_CL_usage,pre_anatomy_knowledge,pre_conf_placement_livingperson,post_duration,RecordedDate.y,post_complete,post_consent,post_conf_UTS_clinical,post_conf_placement_jug_carot,post_conf_placement_fem,post_conf_placement_rad,post_future_UTS_CL_usage,post_anatomy_knowledge,post_conf_placement_livingperson,vessels
72403,57,45148.79104,I certify that I am 18 years of age or older and agree to take part in this research study.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,117,45150.76521,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,"Femoral Artery,Internal Jugular Vein"
10310,350,45150.33838,I certify that I am 18 years of age or older and agree to take part in this research study.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,167,45150.71634,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Femoral Artery
53508,142,45150.09577,I certify that I am 18 years of age or older and agree to take part in this research study.,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,158,45150.83428,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,"Femoral Artery,Internal Jugular Vein"
48173,335,45144.73529,I certify that I am 18 years of age or older and agree to take part in this research study.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,179,45152.69018,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,"Femoral Artery,Femoral Artery"
11551,123,45145.93976,I certify that I am 18 years of age or older and agree to take part in this research study.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,165,45151.66395,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,"Femoral Artery,Internal Jugular Vein"
97246,241,45146.59132,I certify that I am 18 years of age or older and agree to take part in this research study.,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,42,45151.70285,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Femoral Artery,Internal Jugular Vein"
62755,347813,45149.03833,I certify that I am 18 years of age or older and agree to take part in this research study.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,91,45150.97631,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,"Femoral Artery,Femoral Artery"
92564,1983,45144.70245,I certify that I am 18 years of age or older and agree to take part in this research study.,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,161,45154.90178,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,"Radial Artery,Internal Jugular Vein"
23012,206,45149.54334,I certify that I am 18 years of age or older and agree to take part in this research study.,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,78,45151.68054,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,"Femoral Artery,Internal Jugular Vein"
48929,256,45144.59921,I certify that I am 18 years of age or older and agree to take part in this research study.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,137,45150.85393,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,"Radial Artery,Femoral Artery"
24131,589,45148.72279,I certify that I am 18 years of age or older and agree to take part in this research study.,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,278,45150.86039,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,"Femoral Artery,Internal Jugular Vein"
46113,311,45144.61543,I certify that I am 18 years of age or older and agree to take part in this research study.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,308,45150.98843,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,"Femoral Artery,Internal Jugular Vein,Radial Artery,Femoral Artery"
16234,222,45147.71728,I certify that I am 18 years of age or older and agree to take part in this research study.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,143,45150.7133,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Femoral Artery
50651,62,45148.01545,I certify that I am 18 years of age or older and agree to take part in this research study.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,NA,Strongly disagree,Strongly disagree,15,45150.69089,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,NA,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,"Femoral Artery,Internal Jugular Vein"
58432,60,45149.86195,I certify that I am 18 years of age or older and agree to take part in this research study.,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,245,45151.46168,I certify that I have completed all procedures as directed by instructors.,I certify that I am 18 years of age or older and agree to take part in this research study.,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,"Radial Artery,Femoral Artery,Internal Jugular Vein"
